class,precision,recall,f1-score,support
Analysis,0.6915108300820665,0.7574417919245505,0.7229762993178142,6786.0
Backdoor,0.7961474036850922,0.7116334780655786,0.7515218594355285,6679.0
DoS,0.986266531027467,0.5123530188928525,0.6743761412051126,7569.0
Exploits,0.5459995865205706,0.8956590549400859,0.6784261677441452,8846.0
Fuzzers,0.9029209621993127,0.13391946992864423,0.2332445628051487,7848.0
Generic,0.9757730315588141,0.9725178713264495,0.9741427321187047,6295.0
Normal,0.6823940585408476,0.9591059805968316,0.7974269961200735,16286.0
Reconnaissance,0.7161685539261184,0.5218449885026376,0.603755868544601,7393.0
Shellcode,0.9939412769923878,0.9530761209593326,0.9730798479087452,6713.0
Worms,0.9112914509584441,0.9677563150074294,0.9386755062333357,6730.0
accuracy,,,,0.7548955573356337
macro avg,0.820241368549112,0.7385308090144391,0.7347625981433209,81145.0
weighted avg,0.797918080927139,0.7548955573356337,0.7307167263231542,81145.0
