class,precision,recall,f1-score,support
Analysis,0.0,0.0,0.0,515.0
Backdoor,0.0,0.0,0.0,475.0
DoS,0.0,0.0,0.0,3258.0
Exploits,0.43285939968404424,0.3666369313113292,0.397005554213958,8968.0
Fuzzers,0.0,0.0,0.0,4893.0
Generic,0.4891781806564971,0.9796865003198977,0.6525328929846056,6252.0
Normal,0.5225839440940856,0.7609828741623231,0.6196443007275667,16116.0
Reconnaissance,0.0,0.0,0.0,2758.0
Shellcode,0.0,0.0,0.0,319.0
Worms,0.0,0.0,0.0,31.0
accuracy,,,,0.4973500057359183
macro avg,0.1444621524434627,0.21073063057935498,0.166918274792613,43585.0
weighted avg,0.3524650206458922,0.4973500057359183,0.40440906292660306,43585.0
