class,precision,recall,f1-score,support
Analysis,0.683703116745906,0.7566501023092663,0.7183294019703066,6842.0
Backdoor,0.8044558697514995,0.6982002082403689,0.7475712693103997,6723.0
DoS,0.9779046673286991,0.5201373299881157,0.6790793897077838,7573.0
Exploits,0.5500412427825131,0.8927814347874595,0.6807026498234868,8963.0
Fuzzers,0.919917864476386,0.11320277953253316,0.2015974800314996,7915.0
Generic,0.9759832366215345,0.9722222222222222,0.9740990990990991,6228.0
Normal,0.6767932858329326,0.9596504276682781,0.7937761144292635,16134.0
Reconnaissance,0.6955317577548006,0.5115426398696361,0.5895148669796557,7364.0
Shellcode,0.994403855122027,0.9559175134488942,0.9747809523809524,6692.0
Worms,0.9010746762193441,0.9745194456861869,0.9363590808218197,6711.0
accuracy,,,,0.7511245301620556
macro avg,0.8179809572635642,0.735482410375296,0.7295810304554268,81145.0
weighted avg,0.7951748132994485,0.7511245301620556,0.7246531759133232,81145.0
