class,precision,recall,f1-score,support
Analysis,0.7972701726214372,0.8667442537096305,0.830556910852443,6874.0
Backdoor,0.8625464370145222,0.7660467906418716,0.8114376489277204,6668.0
DoS,0.8422330097087378,0.5044271177481168,0.6309612364658236,7567.0
Exploits,0.35721107927411655,0.8430068747886847,0.5017945191694898,8873.0
Fuzzers,0.9447983014861996,0.22255563890972743,0.36025096134385753,7998.0
Generic,0.9760956175298805,0.9725309622102255,0.9743100294281397,6298.0
Normal,0.6543414275202355,0.6614392859356598,0.6578712123547363,16133.0
Reconnaissance,0.9273999562650339,0.5830354687929612,0.7159618468810669,7274.0
Shellcode,0.984271022383545,0.959174649963154,0.9715607971934015,6785.0
Worms,0.969061273769997,0.9619475655430711,0.9654913164423727,6675.0
accuracy,,,,0.7161131308152073
macro avg,0.8315228297573706,0.7340908608243104,0.7420196479059051,81145.0
weighted avg,0.8001443506723834,0.7161131308152073,0.7175100121595416,81145.0
