class,precision,recall,f1-score,support
Analysis,0.0,0.0,0.0,523.0
Backdoor,0.0,0.0,0.0,450.0
DoS,0.5925925925925926,0.004897459442913988,0.009714632665452338,3267.0
Exploits,0.5462218920926464,0.9056202418271384,0.6814371761930837,8932.0
Fuzzers,0.32408759124087594,0.23134639433097123,0.269974461875228,4798.0
Generic,0.9771719494169815,0.9730171708912511,0.9750901343821697,6115.0
Normal,0.7526904081102157,0.8876218502850837,0.8146064254768469,16311.0
Reconnaissance,0.0,0.0,0.0,2839.0
Shellcode,0.0,0.0,0.0,320.0
Worms,0.0,0.0,0.0,30.0
accuracy,,,,0.6801193071010668
macro avg,0.31927644334533123,0.30025031167773586,0.2750822830592781,43585.0
weighted avg,0.6108148656720388,0.6801193071010668,0.611756191544151,43585.0
