,precision,recall,f1-score,support
Analysis,0.8476417199821455,0.8369325694138386,0.8422531046717918,6807.0
Attack_from_Normal,0.0,0.0,0.0,0.0
Backdoor,0.9091347700225153,0.8364900858242084,0.8713008631319359,6758.0
DoS,0.92400513478819,0.4784631746875831,0.6304633441359376,7522.0
Exploits,0.5652774392720773,0.7705426356589147,0.652139275504944,9030.0
Fuzzers,0.4288397507043456,0.6382465057179162,0.512995965888781,7870.0
Generic,0.6354815647022776,0.9796882380727444,0.7709081898153884,6351.0
Normal,0.9845476447619839,0.7351736972704714,0.8417800191781795,16120.0
Reconnaissance,0.7350082958046931,0.4179245283018868,0.532863648079732,7420.0
Shellcode,0.84,0.9109661762475353,0.8740449683475223,6593.0
Worms,0.9509732182057661,0.9736290080910998,0.9621677648626638,6674.0
accuracy,0.7469098527327623,0.7469098527327623,0.7469098527327623,0.7469098527327623
macro avg,0.7109917762039994,0.6889142381169271,0.6809924676015342,81145.0
weighted avg,0.7959720126494658,0.7469098527327623,0.750426711823543,81145.0
