,precision,recall,f1-score,support
Analysis,0.08681033165214733,0.08257014100886757,0.08463716286693489,6879.0
Attack_from_Normal,0.0,0.0,0.0,0.0
Backdoor,0.08586613519348946,0.0755075215422813,0.08035436742306497,6847.0
DoS,0.10111761575306014,0.05061267980820458,0.06745961299485177,7508.0
Exploits,0.11284046692607004,0.15401129943502825,0.13024989249366908,8850.0
Fuzzers,0.10000844665934623,0.14991136996708027,0.11997770684501191,7898.0
Generic,0.07049824271242505,0.10870258208479439,0.0855279658891397,6274.0
Normal,0.3125649784642804,0.26110421836228287,0.2845264652200365,16120.0
Reconnaissance,0.09564579256360078,0.05223083088431739,0.06756523241748748,7486.0
Shellcode,0.08350129570976102,0.08813250265917034,0.08575441709174245,6581.0
Worms,0.08192261185006046,0.0808713816771113,0.08139360264303949,6702.0
accuracy,0.12836280732022923,0.12836280732022923,0.12836280732022923,0.12836280732022923
macro avg,0.10279781068038552,0.1003322297662853,0.09885876598954346,81145.0
weighted avg,0.135907508837615,0.12836280732022923,0.12912686918122823,81145.0
